base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 80},200,"{'lon': 102.28, 'lat': 60.35}",1547871101.0,2013727.0,"{'temp': 7.96, 'pressure': 989.76, 'humidity': 80, 'temp_min': 7.96, 'temp_max': 7.96, 'sea_level': 1034.55, 'grnd_level': 989.76}",,Vanavara,,,"{'message': 0.0034, 'country': 'RU', 'sunrise': 1547862908, 'sunset': 1547887706}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 7.63, 'deg': 229.504}"
stations,{'all': 64},200,"{'lon': -35.22, 'lat': -9.01}",1547871492.0,3395458.0,"{'temp': 75.28, 'pressure': 1017.89, 'humidity': 94, 'temp_min': 75.28, 'temp_max': 75.28, 'sea_level': 1026.65, 'grnd_level': 1017.89}",,Maragogi,,,"{'message': 0.0046, 'country': 'BR', 'sunrise': 1547885667, 'sunset': 1547930920}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.17, 'deg': 94.5041}"
stations,{'all': 44},200,"{'lon': 27.79, 'lat': 58.76}",1547871148.0,561679.0,"{'temp': 9.31, 'pressure': 1013.59, 'humidity': 84, 'temp_min': 9.31, 'temp_max': 9.31, 'sea_level': 1017.89, 'grnd_level': 1013.59}",,Ustye,,,"{'message': 0.0032, 'country': 'RU', 'sunrise': 1547880099, 'sunset': 1547906277}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 8.08, 'deg': 272.504}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 0},200,"{'lon': 7.07, 'lat': 5.43}",1547871461.0,2337542.0,"{'temp': 72.76, 'pressure': 1005.24, 'humidity': 91, 'temp_min': 72.76, 'temp_max': 72.76, 'sea_level': 1024.86, 'grnd_level': 1005.24}",,Naze,,,"{'message': 0.0033, 'country': 'NG', 'sunrise': 1547876810, 'sunset': 1547919481}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.96, 'deg': 222.004}"
stations,{'all': 92},200,"{'lon': 34.5, 'lat': -5.7}",1547871493.0,158904.0,"{'temp': 61.78, 'pressure': 873.11, 'humidity': 99, 'temp_min': 61.78, 'temp_max': 61.78, 'sea_level': 1025.19, 'grnd_level': 873.11}",,Itigi,{'3h': 3.09},,"{'message': 0.0046, 'country': 'TZ', 'sunrise': 1547869231, 'sunset': 1547913885}",,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]","{'speed': 4.27, 'deg': 319.004}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 68},200,"{'lon': 14.43, 'lat': 27.03}",1547871122.0,2212775.0,"{'temp': 51.43, 'pressure': 975.33, 'humidity': 46, 'temp_min': 51.43, 'temp_max': 51.43, 'sea_level': 1028.51, 'grnd_level': 975.33}",,Sabha,,,"{'message': 0.0028, 'country': 'LY', 'sunrise': 1547877148, 'sunset': 1547915620}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 10.65, 'deg': 181.504}"
stations,{'all': 88},200,"{'lon': 97.04, 'lat': 40.29}",1547871353.0,1528998.0,"{'temp': 19.93, 'pressure': 854.15, 'humidity': 96, 'temp_min': 19.93, 'temp_max': 19.93, 'sea_level': 1047.19, 'grnd_level': 854.15}",,Yumen,,,"{'message': 0.0032, 'country': 'CN', 'sunrise': 1547859059, 'sunset': 1547894055}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.83, 'deg': 289.504}"
stations,{'all': 88},200,"{'lon': 121.81, 'lat': 14.93}",1547871494.0,1694895.0,"{'temp': 79.96, 'pressure': 1020.57, 'humidity': 91, 'temp_min': 79.96, 'temp_max': 79.96, 'sea_level': 1028.23, 'grnd_level': 1020.57}",,Panukulan,,,"{'message': 0.0039, 'country': 'PH', 'sunrise': 1547850142, 'sunset': 1547891067}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 18.25, 'deg': 70.5041}"
